title,link,view,upload_date
[자막뉴스] 기후활동가들 로마 트레비분수에 먹물 쫙! 환경운동이냐 물 낭비냐 '논란'/ 연합뉴스TV (YonhapnewsTV),https://youtube.com/watch?v=OYB6XrFi8OE&pp=ygUG7ZmY6rK9,3.8만회,13일 전
흩어진 환경정보 한곳에서 확인하는 방법은? ??ㅣ우리동네 환경정보 [환경보따리],https://youtube.com/watch?v=I3pV3-SKaxc&pp=ygUG7ZmY6rK9,5.8천회,9개월 전
통영 시민환경단체 후쿠시마 오염수 반대 단식농성 (2023.06.21/뉴스데스크/MBC경남),https://youtube.com/watch?v=AnIlL-ppZ5w&pp=ygUG7ZmY6rK9,4.7만회,1년 전
"싸늘해진 대중들 반응에… 과격 시위 고집했던 환경 운동가들, 이젠 “중단하겠다” / 14F",https://youtube.com/watch?v=1FhdCYbTLPw&pp=ygUG7ZmY6rK9,1천회,3년 전
기후환경을 지키는 엉뚱한 상상,https://youtube.com/watch?v=InXmVYzAm9Q&pp=ygUG7ZmY6rK9,1.9만회,10개월 전
?환경을 푸는 언박싱? 예능 블루칩 광희와 함께합니다?? | KBS 방송,https://youtube.com/watch?v=Ycmt2gH3AtE&pp=ygUG7ZmY6rK9,3.3천회,5년 전
지구 환경 보호를 위한 22가지 놀라운 발명품,https://youtube.com/watch?v=Q-0DXwxcmGk&pp=ygUG7ZmY6rK9,5.1만회,2년 전
"인류가 위험에 처했다? 영화감독, 배우, 청소년 환경운동가가 사피엔스 스튜디오에 모인 이유는?",https://youtube.com/watch?v=bvksCFnV6VE&pp=ygUG7ZmY6rK9,355만회,4년 전
새벽부터 아침까지... 환경 미화원의 하루,https://youtube.com/watch?v=tLKF-aCJ4iU&pp=ygUG7ZmY6rK9,1.4천회,3년 전
환경은 모두에게 공정한가? | #환경정의 | #환경불평등,https://youtube.com/watch?v=He8bEyijPaE&pp=ygUG7ZmY6rK9,37만회,1년 전
현수막 대부분 소각…환경오염 나몰라라 | 뉴스A,https://youtube.com/watch?v=lka9YEINeCY&pp=ygUG7ZmY6rK9,9.2천회,2년 전
[대한민국 환경 1교시] 2편 - 기후 미식회 | KBS 210602 방송,https://youtube.com/watch?v=Jcq-jUyPsnE&pp=ygUG7ZmY6rK9,1.4만회,4년 전
"""어른들에 미래 못 맡겨""…10대들 '환경운동' 전면에 (2019.09.26/뉴스데스크/MBC)",https://youtube.com/watch?v=nY2vpx_p1Ak&pp=ygUG7ZmY6rK9,7.4천회,1년 전
사람과 세상을 지키는 환경연구 | 국립환경과학원,https://youtube.com/watch?v=cXAE_v1rK-M&pp=ygUG7ZmY6rK9,4천회,9년 전
[Abnormal Summit] 재미있는 세계의 '환경 캠페인' 지구를 살려라! 비정상회담 27회,https://youtube.com/watch?v=bCOppyo9ktY&pp=ygUG7ZmY6rK9,1.4만회,10개월 전
시멘트 공장 환경 오염 심각…“건강권 위협” / KBS  2023.06.03.,https://youtube.com/watch?v=hSkXs93xECI&pp=ygUG7ZmY6rK9,7.9천회,1년 전
신뢰 잃은 '환경영향평가' 도리어 완화? (2022.10.11/뉴스투데이/MBC),https://youtube.com/watch?v=LvIv_fyag4w&pp=ygUG7ZmY6rK9,3.1천회,2년 전
[대한민국 환경 1교시] 1편 - 지구는 우리가 지켜요! | KBS 210601 방송,https://youtube.com/watch?v=QuV1WRsBOCg&pp=ygUG7ZmY6rK9,1.5만회,2주 전
"""환경 파괴해놓고""…가이아나 대통령, BBC와 언쟁 화제 #소셜픽 / JTBC 아침&",https://youtube.com/watch?v=-YYjXPHJ_qE&pp=ygUG7ZmY6rK9,1만회,4년 전
지구가 몸살났어요 | 지혜동화 | 어린이동화 | 창작동화 | 구연동화 | 깨비 인기동화 | 깨비키즈 KEBIKIDS,https://youtube.com/watch?v=jYUrU3H1FIc&pp=ygUG7ZmY6rK9,4.4천회,1년 전
"우크라 정부 ""우크라 전쟁 환경피해 67조""...첫 전시 생태계 파괴 조사 / YTN 사이언스",https://youtube.com/watch?v=yUMWseVz-Y8&pp=ygUG7ZmY6rK9,5.4만회,1년 전
[오늘의 주제] 세계 환경의 날!,https://youtube.com/watch?v=SK9HycUy3NU&pp=ygUG7ZmY6rK9,14만회,5년 전
북극곰이 울고 있데요ㅜㅜ 어떻게 도와줄 수 있을까요?  [도와줘요 아이쿠#19] | 환경 오염 예방 | 손인형,https://youtube.com/watch?v=uFu6FnId1KE&pp=ygUG7ZmY6rK9,180만회,2년 전
동화책 읽어주기/과학동화/지구와우주/환경동화/분리수거/환경과 생활/지구지킴이??,https://youtube.com/watch?v=zK4mSbcp2P8&pp=ygUG7ZmY6rK9,559회,1년 전
[핫클립] 환경을 위한 자원 순환 기술 / YTN 사이언스,https://youtube.com/watch?v=LjiSdOasy3I&pp=ygUG7ZmY6rK9,1.3만회,1년 전
